Index,SongName,Artist,Genre,ID,Length,Explicit,PercentRating
50,(I Remember) Summer Morning,Vanity Fare,"['bubblegum pop', 'classic uk pop', 'merseybeat']",5iDkKAJZxGaqIo4Z32ZbjD,178418,FALSE,3
51,(I Wanna) Dance With The Teacher,The Olympics,"['doo-wop', 'rhythm and blues']",3rHQ8LI3Rrw2hy7H4FtbFw,107317,FALSE,1
52,(I Wanna) Love My Life Away,Gene Pitney,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll']",1fNR9tY52D1V79V5eNqxxx,114906,FALSE,26
53,(I Wanna) Testify,The Parliaments,"[]",0xAqhyWvTkfcdFgm7dozMO,183693,FALSE,16
54,(I was) Born To Cry,Dion,"['canadian pop', 'dance pop']",5P6O4yi0sZ4JUOJAlmZvxM,147560,FALSE,28
55,(I'll Be With You In) Apple Blossom Time,Tab Hunter,"['deep adult standards']",7p4NwdRBX4tbBaQBRZXnTM,130759,FALSE,8
56,(I'm A) Road Runner,Jr. Walker & The All Stars,"['outlaw country', 'redneck']",5llZqDjRHnn5pAUswFqQCf,165946,FALSE,48
57,(I'm Just A) Fool For You,Gene Chandler,"['brill building pop', 'chicago soul', 'classic soul', 'doo-wop', 'motown', 'northern soul', 'rhythm and blues', 'soul', 'southern soul']",0FESeUvkf85Xj65Yv08Ovf,160853,FALSE,8
58,(I'm Not Your) Steppin' Stone,The Monkees,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'rock-and-roll', 'soft rock', 'sunshine pop']",7dvtNWoHd3ioEBmIl0s3In,146533,FALSE,45
59,(I'm So) Afraid Of Losing You Again,Charley Pride,"['classic country pop', 'country', 'country rock', 'nashville sound']",5drsRsgpbfvKGlhMcb5hKt,173320,FALSE,30
60,(i've Been) Searchin' So Long,Chicago,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",3z9pBucv2HHp1gYaTcQwiI,268426,FALSE,41
61,(I've Got) Bonnie,Bobby Rydell,"['adult standards', 'brill building pop', 'bubblegum pop', 'deep adult standards', 'doo-wop', 'merseybeat', 'rock-and-roll', 'rockabilly']",5XbZjYB4z9OIJhutiDJeSV,147000,FALSE,10
62,(I've Got) Spring Fever,Little Willie John,"['rhythm and blues', 'rock-and-roll', 'soul', 'southern soul']",2QgRceE7yUSn82yLDAA3ZS,131533,FALSE,2
63,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,"['soft rock']",4BFMQ15vXr626UOoZL8bUI,289066,FALSE,70
64,(I've Had) The Time Of My Life,Glee Cast,"['glee club', 'hollywood', 'post-teen pop']",1wYDz3NuqlGxPnQDX8OuV6,277560,FALSE,49
65,(If Loving You Is Wrong) I Don't Want To Be Right,Barbara Mandrell,"['classic country pop', 'country', 'country gospel', 'country rock']",1cxjGdsHJn2vo17AbWLFzu,185013,FALSE,35
66,(If Loving You Is Wrong) I Don't Want To Be Right,Luther Ingram,"['classic soul', 'memphis soul', 'southern soul']",54K7o2yNOMZYCtEDnfD6wI,216800,FALSE,48
67,(If There Was) Any Other Way,Celine Dion,"['canadian pop', 'dance pop']",5yh5RqpOXYN3iiJe07mNNf,240093,FALSE,28
68,(if You Add) All The Love In The World,Mac Davis,"['bubblegum pop', 'country rock']",1P7yXlWH1VjAlu8x1cawmb,213106,FALSE,5
69,"(If You Cry) True Love, True Love",The Drifters,"['adult standards', 'brill building pop', 'bubblegum pop', 'lounge', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly', 'soul']",2mfo3AK0aZzTGcXD0LnLqx,141426,FALSE,16
70,(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson,"['classic soul']",5QQOXL6qvhobRG7zfjQCXW,203746,FALSE,20
71,(If You Want It) Do It Yourself,Gloria Gaynor,"['disco']",0ACUDVTtBKgPLo1R9Mj43L,170866,FALSE,11
72,(If You're Wondering If I Want You To) I Want You To,Weezer,"['alternative rock', 'modern rock', 'permanent wave', 'pop rock', 'post-grunge', 'rock']",09aDV0TC2RfWFU5IwZfIdG,208773,FALSE,51
73,(It Never Happens) In Real Life,Chuck Jackson,"['classic soul', 'motown', 'northern soul', 'rhythm and blues', 'southern soul']",4qpH2D4VQfOCdV7zYkt8Hr,165440,FALSE,5
74,(It's No) Sin,The Duprees featuring Joey Vann,"['brill building pop', 'doo-wop', 'rhythm and blues']",2iuFmbFY7FfPJtEeHmyKOE,162533,FALSE,11
75,(It's The Way) Nature Planned It,Four Tops,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",77ofWAzg1VoiK0mek1pYC0,227386,FALSE,32
76,(It) Feels So Good,Steven Tyler,"['modern country rock']",3xuzbqmCALn6Ua8JeOrnZl,211293,FALSE,33
77,(Just Like) Romeo & Juliet,The Reflections,"[]",7iSG8g8HVyGz8pgMD5cG6B,127893,FALSE,28
78,(Just Like) Romeo And Juliet,Sha Na Na,"['hollywood']",3UDSfh7CyfmbZ2TbmafkHV,136240,FALSE,11
79,(Just Like) Starting Over,John Lennon,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock']",5y0YreEOnQiKFAnCrcFIXz,236546,FALSE,57
80,(Keep Feeling) Fascination,The Human League,"['art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'rock', 'synthpop']",0ZfZaT7NByalxa6bct5G67,224733,FALSE,45
81,(Kissed You) Good Night,Gloriana,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",0Rj68IX1WqAtceUZQGk7aa,232903,FALSE,51
82,(Last Night) I Didn't Get To Sleep At All,The 5th Dimension,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk', 'folk rock', 'lounge', 'mellow gold', 'motown', 'soft rock', 'sunshine pop']",6HH6fmHF2YssfVkRmzcjf0,192600,FALSE,38
83,(Lay Your Head On My) Pillow,Tony Toni Tone,"['dance pop', 'funk', 'hip pop', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary']",0rRGYJSkI7v2VtxJv8n90m,372026,FALSE,52
84,(Loneliness Made Me Realize) It's You That I Need,The Temptations,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'memphis soul', 'motown', 'soul']",4SuPDwNadgf6fdw8v3FW5x,158733,FALSE,20
85,(Love Is Like A) Baseball Game,The Intruders,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']",4Lg5z4lC7u1GPSeYvHPPi6,165920,FALSE,25
86,(Love Is) Thicker Than Water,Andy Gibb,"['adult standards', 'bubblegum pop', 'country rock', 'disco', 'mellow gold', 'soft rock']",5WdF8jm3hBNi1t9qlqdjsE,255960,FALSE,45
87,(Love Me) Love The Life I Lead,The Fantastics,"[]",7pgKdLyCfjnrBLXJfbFLzg,186521,FALSE,0
88,(Marie's The Name) His Latest Flame,Elvis Presley,"['adult standards', 'rock-and-roll', 'rockabilly']",4qbLOU1T7xgTH87eUSkvJ1,127093,FALSE,56
89,(New In) The Ways Of Love,Tommy Edwards,"['deep adult standards', 'doo-wop']",4pNXt2MMFvTSBOkOPWjD8r,159640,FALSE,9
90,(Now You See Me) Now You Don't,Lee Ann Womack,"['contemporary country', 'country', 'country dawn', 'country road']",2i4tmbKkAhRnnojsmnPof1,159600,FALSE,22
91,(Oh Lord Won't You Buy Me A) Mercedes Benz,Goose Creek Symphony,"['cosmic american']",2uHWLH7bnYPlWSWe6AfHiO,196333,FALSE,25
92,(oh) Pretty Woman,Van Halen,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']",7ptv3yXdBWwzO7rVA62rwy,172670,FALSE,53
93,(Open Up The Door) Let The Good Times In,Dean Martin,"['adult standards', 'easy listening', 'lounge']",6AwCMQu47EyMU2IbzhkjlL,198600,FALSE,34
94,(Our Love) Don't Throw It All Away,Andy Gibb,"['adult standards', 'bubblegum pop', 'country rock', 'disco', 'mellow gold', 'soft rock']",1RsxUuB1Q5OdseLpHMBkEN,250200,FALSE,48
95,(Pride) In The Name Of Love,U2,"['irish rock', 'permanent wave', 'rock']",3dh2LlmeMqKJbzn2WUgt3d,228426,FALSE,60
96,(Reach Up For The) Sunrise,Duran Duran,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']",1UiRhN1y1ML67E7oTjKtlZ,334586,FALSE,25
97,(Remember Me) I'm The One Who Loves You,Dean Martin,"['adult standards', 'easy listening', 'lounge']",7Jm0gQhWuBMzp0TI4ydm3D,145320,FALSE,36
